BDD0000-Z01  OLCS  wait  Generate submission  xpathLinkContains  NA  Yes  2000
BDD0000-A02  OLCS  click  Generate submission  xpathLinkContains  NA  Yes  2000
BDD0000-B02  OLCS  wait  submitbutton  id  NA  Yes  2000
BDD0000-C02  OLCS  checkContent  body  tagName  Test entry 2  Yes  2000
BDD0000-D02  OLCS  wait  Choose one  xpathLinkContains  NA  Yes  2000
BDD0000-E02  OLCS  click  Choose one  xpathLinkContains  NA  Yes  2000
BDD0000-F02  OLCS  wait  Recommendation  xpathLinkContains  NA  Yes  2000
BDD0000-G02  OLCS  click  Recommendation  xpathLinkContains  NA  Yes  2000
BDD0000-B01  OLCS  click  Advanced search  linkText  NA  Yes  2000
BDD0000-H02  OLCS  wait  Select Person  xpathLinkContains  NA  Yes  2000
BDD0000-I02  OLCS  click  Select Person  xpathLinkContains  NA  Yes  2000
BDD0000-J02  OLCS  wait  Amy Wrigg  xpathLinkContains  NA  Yes  2000
BDD0000-K02  OLCS  click  Amy Wrigg  xpathLinkContains  NA  Yes  2000
BDD0000-L02  OLCS  click  #divRecommendActions  cssSelector  NA  Yes  2000
BDD0000-O02  OLCS  wait  subRecomDecNote_ifr  id  NA  Yes  2000
BDD0000-P02  NA  switch  subRecomDecNote_ifr  NA  NA  Yes  2000
BDD0000-Q02  NA  standardKeys  tinymce  id  Test entry 3  Yes  2000
BDD0000-R02  OLCS  click  /search  xpathHref  NA  Yes  2000
BDD0000-S02  OLCS  checkContent  body  tagName  Test entry 2  Yes  2000
BDD0000-T02  OLCS  start  ompliance  partialLinkText  http://volcs-olcs.olcsdv-ap01.olcs.npm  Yes  2000
BDD0000-U02  OLCS  start  New Application  linkText  http://volcs-olcsselfserve.olcsdv-ap01.olcs.npm  Yes  2000
BDD0000-V02  OLCS  click  New Application  linkText  NA  Yes  2000
BDD0000-W02  OLCS  click  Great Britain  xpathLabelContains  NA  Yes  2000
BDD0000-X02  OLCS  wait  Great Britain  xpathLabelContains  NA  Yes  2000
BDD0000-Y02  OLCS  click  Goods  xpathLabelContains  NA  Yes  2000
BDD0000-Z02  OLCS  wait  Goods  xpathLabelContains  NA  Yes  2000
BDD0000-A03  OLCS  click  Restricted  xpathLabelContains  NA  Yes  2000
BDD0000-B03  OLCS  wait  Restricted  xpathLabelContains  NA  Yes  2000
BDD0000-C03  OLCS  wait  savenextbutton  id  NA  Yes  2000
BDD0000-D03  OLCS  click  savenextbutton  id  NA  Yes  2000
BDD0000-E03  OLCS  standardKeys  operatorName  id  John  Yes  2000
BDD0000-E04  OLCS  click  /case/list/7/page/1/10  xpathHref  NA  Yes  2000
BDD0000-E05  OLCS  checkContent  body  tagName  Compliance  Yes  2000
BDD0000-E06  OLCS  click  /case/7/28/dashboard  xpathHref  NA  Yes  2000
BDD0000-E07  OLCS  checkContent  body  tagName  OLCS. All rights Reserved  Yes  2000
BDD0000-F08  OLCS  wait  List of convictions  linkText  NA  Yes  2000
BDD0000-E08  OLCS  click  15-06-2012  xpathLinkContains  NA  Yes  2000
BDD0000-E10  OLCS  wait  licenceId  inputName  NA  Yes  2000
BDD0000-E09  OLCS  click  licenceId  inputName  NA  Yes  2000
BDD0000-E15  OLCS  wait  popupSaveConvictionButton  id  NA  Yes  2000
BDD0000-E16  OLCS  click  popupSaveConvictionButton  id  NA  Yes  2000
BDD0000-E22  OLCS  wait  New Application  linkText  NA  Yes  2000
BDD0000-E23  OLCS  wait  PSV  xpathLabelContains  NA  Yes  2000
BDD0000-E24  OLCS  click  PSV  xpathLabelContains  NA  Yes  2000
BDD0000-E25  OLCS  wait  Standard National  xpathLabelContains  NA  Yes  2000
BDD0000-E26  OLCS  click  Standard National  xpathLabelContains  NA  Yes  2000
BDD0000-E27  OLCS  click  Select type  xpathLinkContains  NA  Yes  2000
BDD0000-E28  OLCS  wait  Select type  xpathLinkContains  NA  Yes  2000
BDD0000-E29  OLCS  wait  Registered Company  xpathLinkContains  NA  Yes  2000
BDD0000-E30  OLCS  click  Registered Company  xpathLinkContains  NA  Yes  2000
BDD0000-E32  OLCS  wait  Select  partialLinkText  NA  Yes  2000
BDD0000-E31  OLCS  click  Select  partialLinkText  NA  Yes  2000
BDD0000-E33  OLCS  wait  North East of England  xpathLinkContains  NA  Yes  2000
BDD0000-E34  OLCS  click  North East of England  xpathLinkContains  NA  Yes  2000
